"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2022-11-28T08:00:00.000Z","399.09","410.00","393.30","406.91","1.14","0.8629","426,639,342"
"2022-12-05T08:00:00.000Z","403.95","404.93","391.64","393.28","-3.35","-3.63","363,375,573"
"2022-12-12T08:00:00.000Z","394.11","410.49","381.04","383.27","-2.55","-2.82","544,863,559"
"2022-12-19T08:00:00.000Z","383.47","387.41","374.77","382.91","-0.0939","-0.3694","392,450,896"
"2022-12-26T08:00:00.000Z","382.79","384.35","376.42","382.43","-0.1254","-0.4008","273,542,782"
"2023-01-02T08:00:00.000Z","384.37","389.25","377.83","388.08","1.48","1.20","341,944,888"
"2023-01-09T08:00:00.000Z","390.37","399.10","386.27","398.50","2.69","2.41","362,278,876"
"2023-01-16T08:00:00.000Z","398.48","400.23","387.26","395.88","-0.6575","-0.9329","341,074,818"
"2023-01-23T08:00:00.000Z","396.72","408.16","393.56","405.68","2.48","2.20","369,137,564"
"2023-01-30T08:00:00.000Z","402.80","418.31","400.28","412.35","1.64","1.37","458,864,203"
"2023-02-06T08:00:00.000Z","409.79","416.49","405.01","408.04","-1.05","-1.32","376,978,106"
"2023-02-13T08:00:00.000Z","408.72","415.05","404.05","407.26","-0.1912","-0.4666","380,677,415"
"2023-02-20T08:00:00.000Z","403.06","404.16","393.64","396.38","-2.67","-2.95","370,835,029"
"2023-02-27T08:00:00.000Z","399.87","404.45","392.33","404.19","1.97","1.69","452,114,804"
"2023-03-06T08:00:00.000Z","405.05","407.45","384.32","385.91","-4.52","-4.80","557,084,192"
"2023-03-13T07:00:00.000Z","381.81","396.47","380.65","389.99","1.06","0.7818","764,852,473"
"2023-03-20T07:00:00.000Z","390.80","402.49","389.40","395.75","1.48","1.20","523,450,718"
"2023-03-27T07:00:00.000Z","398.12","409.70","393.69","409.39","3.45","3.17","396,282,637"
"2023-04-03T07:00:00.000Z","408.85","411.92","405.68","409.19","-0.0489","-0.3243","262,936,219"
"2023-04-10T07:00:00.000Z","406.61","415.09","405.97","412.46","0.7991","0.5237","373,375,620"
"2023-04-17T07:00:00.000Z","412.37","415.72","410.17","412.20","-0.0630","-0.3385","334,521,507"
"2023-04-24T07:00:00.000Z","411.99","415.94","403.78","415.93","0.9049","0.6294","424,947,371"
"2023-05-01T07:00:00.000Z","415.47","417.62","403.74","412.63","-0.7934","-1.07","440,446,161"
