"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"2024-06-18T07:00:00.000Z","5,476.15","5,490.38","5,471.32","5,487.03","0.2521","0.1945","24,618,668"
"2024-06-20T07:00:00.000Z","5,499.99","5,505.53","5,455.56","5,473.17","-0.2526","-0.3102","29,102,770"
"2024-06-21T07:00:00.000Z","5,466.77","5,478.31","5,452.03","5,464.62","-0.1562","-0.2138","52,621,884"
"2024-06-24T07:00:00.000Z","5,459.58","5,490.66","5,447.59","5,447.87","-0.3065","-0.3641","27,645,422"
"2024-06-25T07:00:00.000Z","5,460.73","5,472.88","5,446.56","5,469.30","0.3934","0.3358","25,912,871"
"2024-06-26T07:00:00.000Z","5,460.71","5,483.14","5,451.87","5,477.90","0.1572","0.0996","25,590,781"
"2024-06-27T07:00:00.000Z","5,473.59","5,490.81","5,467.54","5,482.87","0.0907","0.0331","24,814,217"
"2024-06-28T07:00:00.000Z","5,488.48","5,523.64","5,451.12","5,460.48","-0.4084","-0.4660","41,911,140"
"2024-07-01T07:00:00.000Z","5,471.08","5,479.55","5,446.53","5,475.09","0.2676","0.2099","24,052,620"
"2024-07-02T07:00:00.000Z","5,461.84","5,509.69","5,458.43","5,509.01","0.6195","0.5619","23,040,477"
"2024-07-03T07:00:00.000Z","5,507.44","5,539.27","5,507.42","5,537.02","0.5084","0.4508","15,493,672"
"2024-07-05T07:00:00.000Z","5,537.91","5,570.33","5,531.63","5,567.19","0.5449","0.4873","22,510,766"
"2024-07-08T07:00:00.000Z","5,572.75","5,583.11","5,562.51","5,572.85","0.1017","0.0441","23,679,629"
"2024-07-09T07:00:00.000Z","5,584.24","5,590.75","5,574.57","5,576.98","0.0741","0.0165","24,103,043"
"2024-07-10T07:00:00.000Z","5,591.26","5,635.39","5,586.44","5,633.91","1.02","0.9632","22,937,879"
"2024-07-11T07:00:00.000Z","5,635.21","5,642.45","5,576.53","5,584.54","-0.8763","-0.9339","28,917,829"
"2024-07-12T07:00:00.000Z","5,590.76","5,655.56","5,590.44","5,615.35","0.5517","0.4941","25,182,899"
"2024-07-15T07:00:00.000Z","5,638.16","5,666.94","5,614.75","5,631.22","0.2826","0.2250","24,139,530"
"2024-07-16T07:00:00.000Z","5,644.09","5,669.67","5,639.02","5,667.20","0.6389","0.5813","25,314,340"
"2024-07-17T07:00:00.000Z","5,610.07","5,622.49","5,584.81","5,588.27","-1.39","-1.45","31,479,417"
"2024-07-18T07:00:00.000Z","5,608.56","5,614.05","5,522.81","5,544.59","-0.7816","-0.8392","29,258,638"
"2024-07-19T07:00:00.000Z","5,543.37","5,557.50","5,497.04","5,505.00","-0.7140","-0.7716","26,493,954"
